manufacturer,model,year,transmission,mileage,fuelType,mpg,engineSize,price
Audi, A1,2017,Manual,15735,Petrol,55.4,1.4,12500
Audi, A6,2016,Automatic,36203,Diesel,64.2,2.0,16500
Audi, A1,2016,Manual,29946,Petrol,55.4,1.4,11000
Audi, A4,2017,Automatic,25952,Diesel,67.3,2.0,16800
Audi, A3,2019,Manual,1998,Petrol,49.6,1.0,17300
Audi, A1,2016,Automatic,32260,Petrol,58.9,1.4,13900
Audi, A6,2016,Automatic,76788,Diesel,61.4,2.0,13250
Audi, A4,2016,Manual,75185,Diesel,70.6,2.0,11750
Audi, A3,2015,Manual,46112,Petrol,60.1,1.4,10200
Audi, A1,2016,Manual,22451,Petrol,55.4,1.4,12000
Audi, A3,2017,Manual,28955,Petrol,58.9,1.4,16100
Audi, A6,2016,Automatic,52198,Diesel,57.6,2.0,16500
Audi, Q3,2016,Manual,44915,Diesel,52.3,2.0,17000
Audi, A3,2017,Manual,21695,Petrol,58.9,1.4,16400
Audi, A6,2015,Manual,47348,Diesel,61.4,2.0,15400
Audi, A3,2017,Automatic,26156,Petrol,58.9,1.4,14500
Audi, Q3,2016,Automatic,28396,Diesel,53.3,2.0,15700
Audi, A3,2014,Automatic,30516,Petrol,56.5,1.4,13900
Audi, Q5,2016,Automatic,37652,Diesel,47.1,2.0,19000
Audi, Q3,2014,Manual,34110,Petrol,47.9,1.4,17000
Audi, A5,2017,Automatic,37100,Diesel,67.3,2.0,17300
Audi, Q5,2016,Automatic,23714,Diesel,47.1,2.0,20200
Audi, A5,2017,Automatic,21649,Diesel,58.9,3.0,22500
Audi, A6,2015,Automatic,62748,Diesel,53.3,3.0,17500
Audi, Q5,2016,Automatic,23789,Diesel,47.1,2.0,20000
Audi, A4,2017,Automatic,17418,Diesel,62.8,2.0,18500
Audi, A5,2017,Automatic,33300,Diesel,61.4,2.0,19500
Audi, A1,2018,Manual,10793,Petrol,56.5,1.4,15800
Audi, A4,2018,Automatic,25138,Diesel,70.6,2.0,17200
Audi, A6,2015,Manual,61176,Diesel,62.8,2.0,14000
Audi, A1,2015,Automatic,54754,Diesel,76.3,1.6,9500
Audi, Q3,2017,Manual,21369,Petrol,51.4,1.4,16500
Audi, Q3,2014,Automatic,39190,Diesel,47.9,2.0,15000
Audi, Q3,2017,Automatic,47482,Petrol,47.9,1.4,16000
Audi, Q3,2016,Automatic,40501,Diesel,51.4,2.0,16900
Audi, Q3,2014,Automatic,43195,Diesel,47.9,2.0,12300
Audi, A1,2017,Manual,31447,Petrol,67.3,1.0,10800
Audi, A6,2016,Automatic,34030,Diesel,58.9,2.0,19400
Audi, A4,2017,Manual,29063,Diesel,70.6,2.0,16000
Audi, A3,2017,Manual,29545,Diesel,65.7,2.0,17100
Audi, A3,2015,Manual,75619,Diesel,68.9,2.0,11300
Audi, Q3,2016,Automatic,39603,Diesel,50.4,2.0,17200
Audi, Q3,2017,Automatic,42908,Diesel,51.4,2.0,20300
Audi, A5,2014,Automatic,83872,Diesel,58.9,2.0,13200
Audi, Q3,2016,Automatic,58750,Petrol,47.9,1.4,15200
Audi, A3,2019,Manual,2029,Petrol,49.6,1.0,15700
Audi, A6,2018,Automatic,22958,Petrol,50.4,1.8,16600
Audi, A4,2017,Automatic,32097,Diesel,72.4,2.0,14400
Audi, A5,2017,Automatic,13057,Petrol,53.3,2.0,20200
Audi, S4,2017,Automatic,20278,Petrol,38.7,3.0,23700
Audi, A4,2016,Manual,52561,Diesel,74.3,2.0,12750
Audi, A6,2015,Automatic,31604,Diesel,67.3,2.0,13000
Audi, Q3,2016,Manual,32011,Petrol,49.6,1.4,15900
Audi, Q3,2016,Manual,39134,Diesel,60.1,2.0,15000
Audi, Q5,2015,Automatic,89483,Diesel,47.1,2.0,14700
Audi, A3,2015,Automatic,56291,Petrol,42.8,1.8,15000
Audi, A6,2016,Automatic,47767,Diesel,61.4,2.0,16000
Audi, A1,2014,Manual,34315,Petrol,53.3,1.4,11000
Audi, A3,2016,Manual,66369,Diesel,83.1,1.6,10200
Audi, A6,2016,Manual,34110,Diesel,61.4,2.0,18500
Audi, A1,2013,Manual,76269,Diesel,74.3,1.6,7000
Audi, A3,2016,Manual,37840,Diesel,70.6,1.6,10600
Audi, A3,2017,Manual,26249,Diesel,67.3,1.6,16000
Audi, Q3,2017,Manual,44898,Diesel,57.7,2.0,15000
Audi, Q3,2017,Manual,67161,Petrol,51.4,1.4,14000
Audi, A3,2018,Manual,17992,Petrol,54.3,1.5,18950
Audi, A4,2016,Manual,97440,Diesel,70.6,2.0,10200
Audi, A1,2017,Manual,19268,Petrol,67.3,1.0,11700
Audi, A3,2013,Automatic,51441,Petrol,50.4,1.8,11500
Audi, A1,2016,Manual,18181,Petrol,67.3,1.0,10800
Audi, A3,2016,Manual,19494,Diesel,67.3,2.0,12500
Audi, A6,2016,Manual,32808,Diesel,61.4,2.0,16600
Audi, A3,2017,Manual,25965,Diesel,65.7,2.0,13100
Audi, A3,2016,Manual,88215,Diesel,68.9,2.0,8300
Audi, A3,2019,Manual,5704,Petrol,49.6,1.0,16000
Audi, A4,2017,Manual,10959,Petrol,51.4,1.4,16900
Audi, Q5,2016,Automatic,30201,Diesel,47.1,2.0,19600
Audi, Q3,2017,Automatic,19319,Petrol,40.4,2.0,21800
Audi, A6,2017,Manual,22582,Diesel,61.4,2.0,16200
Audi, A5,2017,Manual,20052,Petrol,49.6,2.0,18700
Audi, Q3,2016,Manual,16666,Diesel,60.1,2.0,16100
Audi, A3,2016,Manual,25626,Diesel,74.3,1.6,11300
Audi, A3,2016,Manual,10460,Petrol,60.1,1.4,14100
Audi, A6,2016,Automatic,43307,Diesel,57.6,2.0,16600
Audi, A1,2017,Manual,29327,Petrol,55.4,1.4,11300
Audi, Q3,2017,Manual,36714,Petrol,51.4,1.4,15600
Audi, A1,2014,Manual,28324,Petrol,53.3,1.4,10000
Audi, A1,2016,Manual,12100,Petrol,56.5,1.4,14500
Audi, Q3,2017,Manual,18001,Diesel,62.8,2.0,16100
Audi, A1,2016,Manual,28760,Petrol,55.4,1.4,10600
Audi, A3,2019,Semi-Auto,4000,Petrol,44.1,1.5,25499
Audi, Q2,2019,Semi-Auto,7897,Diesel,47.9,2.0,25499
Audi, A6,2016,Automatic,24744,Diesel,56.5,3.0,15500
Audi, Q3,2015,Automatic,30075,Diesel,51.4,2.0,16200
Audi, A1,2017,Manual,12577,Petrol,58.9,1.4,14000
Audi, A6,2016,Automatic,24421,Diesel,61.4,2.0,17300
Audi, A1,2016,Manual,15567,Diesel,76.3,1.6,10600
Audi, A4,2018,Manual,15207,Petrol,51.4,1.4,17500
Audi, A4,2017,Manual,14864,Petrol,52.3,1.4,15000
Audi, A4,2019,Semi-Auto,9000,Petrol,38.7,2.0,25499
Audi, A4,2019,Manual,5000,Petrol,38.7,2.0,25000
Audi, Q2,2019,Semi-Auto,4264,Petrol,33.2,2.0,31000
Audi, Q3,2019,Manual,4000,Diesel,42.8,2.0,28000
Audi, Q3,2019,Manual,4000,Petrol,42.2,1.5,28000
Audi, Q2,2019,Manual,2721,Diesel,49.6,1.6,21499
Audi, Q2,2019,Semi-Auto,4000,Petrol,42.2,1.5,26000
Audi, Q5,2016,Semi-Auto,49649,Diesel,42.2,3.0,30000
Audi, A4,2017,Manual,14068,Petrol,51.4,1.4,17000
Audi, A4,2017,Manual,23092,Petrol,52.3,1.4,14500
Audi, Q3,2017,Automatic,30682,Diesel,50.4,2.0,17500
Audi, A1,2016,Manual,18272,Petrol,67.3,1.0,10500
Audi, Q2,2017,Automatic,23714,Diesel,68.9,1.6,14800
Audi, A6,2016,Automatic,71311,Diesel,61.4,2.0,12000
Audi, A6,2018,Automatic,29477,Diesel,61.4,2.0,22000
Audi, Q5,2016,Automatic,60551,Diesel,47.1,2.0,17800
Audi, A6,2017,Automatic,42071,Diesel,61.4,2.0,19800
Audi, A7,2014,Automatic,55774,Diesel,44.8,3.0,19500
Audi, A1,2016,Manual,36462,Diesel,76.3,1.6,9800
Audi, A3,2016,Manual,25376,Petrol,57.6,1.4,15500
Audi, A4,2017,Automatic,39388,Diesel,67.3,2.0,16800
Audi, A3,2017,Manual,64207,Diesel,67.3,2.0,11500
Audi, A1,2017,Manual,49221,Petrol,55.4,1.4,12100
Audi, A1,2017,Manual,27179,Diesel,76.3,1.6,12700
Audi, A4,2014,Manual,31376,Diesel,58.9,2.0,11700
Audi, A5,2015,Automatic,62668,Diesel,53.3,2.0,11500
Audi, A4,2017,Manual,10001,Petrol,51.4,1.4,17400
Audi, A6,2016,Automatic,52544,Diesel,61.4,2.0,16000
Audi, A4,2016,Manual,63097,Petrol,49.6,2.0,13100
Audi, A6,2016,Manual,72967,Diesel,61.4,2.0,14700
Audi, A5,2017,Automatic,32771,Diesel,70.6,2.0,21100
Audi, Q3,2018,Automatic,13303,Petrol,40.4,2.0,24400
Audi, A3,2019,Manual,2752,Petrol,44.8,1.5,18750
Audi, Q3,2016,Manual,23307,Diesel,49.6,2.0,16500
Audi, A1,2017,Manual,34551,Petrol,67.3,1.0,11000
Audi, A3,2017,Manual,25457,Diesel,68.9,1.6,13400
Audi, Q2,2018,Manual,12167,Petrol,50.4,1.4,20000
Audi, A6,2015,Automatic,23237,Diesel,67.3,2.0,15400
Audi, Q3,2016,Automatic,11863,Diesel,50.4,2.0,15500
Audi, A4,2017,Manual,21225,Diesel,72.4,2.0,14800
Audi, A6,2015,Automatic,32083,Diesel,61.4,2.0,17100
Audi, Q5,2017,Automatic,17039,Diesel,55.4,2.0,25750
Audi, A4,2016,Manual,72026,Diesel,74.3,2.0,11750
Audi, A1,2017,Manual,34824,Petrol,67.3,1.0,11200
Audi, A1,2017,Manual,20351,Petrol,55.4,1.4,12800
Audi, A4,2017,Automatic,58028,Petrol,52.3,2.0,16000
Audi, A5,2017,Automatic,44783,Diesel,62.8,2.0,20000
Audi, A4,2014,Manual,60604,Diesel,67.3,2.0,11950
Audi, A4,2013,Manual,39998,Diesel,65.7,2.0,9400
Audi, A4,2017,Automatic,20852,Diesel,65.7,2.0,20000
Audi, A6,2016,Manual,79728,Diesel,64.2,2.0,13300
Audi, A6,2017,Automatic,29095,Diesel,64.2,2.0,18500
Audi, A3,2013,Manual,98940,Diesel,74.3,1.6,8300
Audi, A1,2016,Manual,22780,Petrol,58.9,1.4,13500
Audi, A5,2018,Manual,20832,Petrol,47.1,2.0,19800
Audi, Q3,2016,Automatic,29196,Diesel,55.4,2.0,15400
Audi, A4,2017,Manual,14392,Petrol,53.3,1.4,13900
Audi, A4,2018,Manual,20070,Petrol,52.3,1.4,15600
Audi, A6,2016,Automatic,89334,Diesel,62.8,3.0,16200
Audi, A1,2016,Manual,21428,Petrol,67.3,1.0,10600
Audi, A4,2016,Manual,45485,Diesel,70.6,2.0,14300
